month_year,state,district,pincode,assi,anom_score,type
2025-09,Andaman And Nicobar Islands,Nicobar,744301,29.700000000000003,4.482142857142857,MoM Spike
2025-11,Andaman And Nicobar Islands,Nicobar,744302,20.700000000000003,17.083333333333336,MoM Spike
2025-12,Andaman And Nicobar Islands,Nicobar,744303,30.4,12.652173913043478,MoM Spike
2025-11,Andaman And Nicobar Islands,North And Middle Andaman,744201,24.1,4.340425531914894,MoM Spike
2025-12,Andaman And Nicobar Islands,North And Middle Andaman,744210,12.700000000000001,3.8928571428571432,MoM Spike
2025-12,Andaman And Nicobar Islands,South Andaman,744107,39.4,4.534246575342465,MoM Spike
2025-09,Andhra Pradesh,Adilabad,504207,16.200000000000003,3.7777777777777786,MoM Spike
2025-09,Andhra Pradesh,Alluri Sitharama Raju,531024,30.700000000000003,3.402777777777778,MoM Spike
2025-09,Andhra Pradesh,Alluri Sitharama Raju,531077,35.1,4.640625,MoM Spike
2025-11,Andhra Pradesh,Anakapalli,531036,12.899999999999999,3.633333333333333,MoM Spike
2025-06,Andhra Pradesh,Anakapalli,531055,37.4,3.682926829268293,MoM Spike
2025-10,Andhra Pradesh,Anantapur,515286,18.0,3.8717948717948714,MoM Spike
2025-09,Andhra Pradesh,Anantapur,515411,38.1,4.924242424242424,MoM Spike
2025-10,Andhra Pradesh,Anantapur,515415,9.7,4.63157894736842,MoM Spike
2025-09,Andhra Pradesh,Anantapur,515425,27.3,3.716666666666667,MoM Spike
2025-09,Andhra Pradesh,Anantapur,515711,19.200000000000003,3.391304347826088,MoM Spike
2025-09,Andhra Pradesh,Anantapur,515731,23.6,3.555555555555556,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515122,26.1,5.948717948717949,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515124,11.200000000000001,4.083333333333334,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515212,20.9,8.954545454545453,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515286,13.4,3.9655172413793105,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515291,6.8,4.2,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515305,15.8,3.8000000000000003,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515311,18.099999999999998,3.547619047619047,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515341,6.4,3.3529411764705883,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515402,12.7,3.7241379310344818,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515411,96.7,4.33879781420765,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515445,17.6,4.314285714285715,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515521,18.1,6.074074074074074,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515551,14.2,3.9032258064516125,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515722,10.3,3.91304347826087,MoM Spike
2025-10,Andhra Pradesh,Ananthapur,515767,19.0,4.128205128205128,MoM Spike
2025-10,Andhra Pradesh,Ananthapuramu,515122,62.1,7.0897435897435885,MoM Spike
