state,district,pincode,forecast_month,forecast_assi,method
Uttar Pradesh,Moradabad,244001,2026-01,1714.0999999999997,3-Month MA Baseline
Uttar Pradesh,Moradabad,244001,2026-02,1714.0999999999997,3-Month MA Baseline
Uttar Pradesh,Moradabad,244001,2026-03,1714.0999999999997,3-Month MA Baseline
Delhi,North East Delhi,110094,2026-01,971.5,3-Month MA Baseline
Delhi,North East Delhi,110094,2026-02,971.5,3-Month MA Baseline
Delhi,North East Delhi,110094,2026-03,971.5,3-Month MA Baseline
Uttar Pradesh,Aligarh,202001,2026-01,1103.3333333333333,3-Month MA Baseline
Uttar Pradesh,Aligarh,202001,2026-02,1103.3333333333333,3-Month MA Baseline
Uttar Pradesh,Aligarh,202001,2026-03,1103.3333333333333,3-Month MA Baseline
Uttar Pradesh,Saharanpur,247001,2026-01,1114.3,3-Month MA Baseline
Uttar Pradesh,Saharanpur,247001,2026-02,1114.3,3-Month MA Baseline
Uttar Pradesh,Saharanpur,247001,2026-03,1114.3,3-Month MA Baseline
Delhi,West Delhi,110059,2026-01,858.1333333333333,3-Month MA Baseline
Delhi,West Delhi,110059,2026-02,858.1333333333333,3-Month MA Baseline
Delhi,West Delhi,110059,2026-03,858.1333333333333,3-Month MA Baseline
Uttar Pradesh,Firozabad,283203,2026-01,897.4333333333334,3-Month MA Baseline
Uttar Pradesh,Firozabad,283203,2026-02,897.4333333333334,3-Month MA Baseline
Uttar Pradesh,Firozabad,283203,2026-03,897.4333333333334,3-Month MA Baseline
West Bengal,Dinajpur Uttar,733210,2025-08,1356.5,3-Month MA Baseline
West Bengal,Dinajpur Uttar,733210,2025-09,1356.5,3-Month MA Baseline
West Bengal,Dinajpur Uttar,733210,2025-10,1356.5,3-Month MA Baseline
Uttar Pradesh,Rampur,244901,2026-01,909.8333333333334,3-Month MA Baseline
Uttar Pradesh,Rampur,244901,2026-02,909.8333333333334,3-Month MA Baseline
Uttar Pradesh,Rampur,244901,2026-03,909.8333333333334,3-Month MA Baseline
Uttar Pradesh,Shahjahanpur,242001,2026-01,907.9,3-Month MA Baseline
Uttar Pradesh,Shahjahanpur,242001,2026-02,907.9,3-Month MA Baseline
Uttar Pradesh,Shahjahanpur,242001,2026-03,907.9,3-Month MA Baseline
Maharashtra,Aurangabad,431001,2026-01,1059.2,3-Month MA Baseline
Maharashtra,Aurangabad,431001,2026-02,1059.2,3-Month MA Baseline
Maharashtra,Aurangabad,431001,2026-03,1059.2,3-Month MA Baseline
Uttar Pradesh,Meerut,250002,2026-01,1121.9333333333332,3-Month MA Baseline
Uttar Pradesh,Meerut,250002,2026-02,1121.9333333333332,3-Month MA Baseline
Uttar Pradesh,Meerut,250002,2026-03,1121.9333333333332,3-Month MA Baseline
Haryana,Faridabad,121004,2026-01,848.5333333333334,3-Month MA Baseline
Haryana,Faridabad,121004,2026-02,848.5333333333334,3-Month MA Baseline
Haryana,Faridabad,121004,2026-03,848.5333333333334,3-Month MA Baseline
Madhya Pradesh,Barwani,451666,2026-01,615.7333333333332,3-Month MA Baseline
Madhya Pradesh,Barwani,451666,2026-02,615.7333333333332,3-Month MA Baseline
Madhya Pradesh,Barwani,451666,2026-03,615.7333333333332,3-Month MA Baseline
Maharashtra,Nashik,423203,2026-01,1168.9333333333334,3-Month MA Baseline
Maharashtra,Nashik,423203,2026-02,1168.9333333333334,3-Month MA Baseline
Maharashtra,Nashik,423203,2026-03,1168.9333333333334,3-Month MA Baseline
Uttar Pradesh,Pilibhit,262001,2026-01,866.0,3-Month MA Baseline
Uttar Pradesh,Pilibhit,262001,2026-02,866.0,3-Month MA Baseline
Uttar Pradesh,Pilibhit,262001,2026-03,866.0,3-Month MA Baseline
Madhya Pradesh,Morena,476001,2026-01,633.4666666666667,3-Month MA Baseline
Madhya Pradesh,Morena,476001,2026-02,633.4666666666667,3-Month MA Baseline
Madhya Pradesh,Morena,476001,2026-03,633.4666666666667,3-Month MA Baseline
Delhi,North West Delhi,110086,2026-01,942.2333333333332,3-Month MA Baseline
Delhi,North West Delhi,110086,2026-02,942.2333333333332,3-Month MA Baseline
Delhi,North West Delhi,110086,2026-03,942.2333333333332,3-Month MA Baseline
Maharashtra,Thane,421302,2026-01,916.0333333333333,3-Month MA Baseline
Maharashtra,Thane,421302,2026-02,916.0333333333333,3-Month MA Baseline
Maharashtra,Thane,421302,2026-03,916.0333333333333,3-Month MA Baseline
Uttar Pradesh,Pilibhit,262122,2026-01,644.6,3-Month MA Baseline
Uttar Pradesh,Pilibhit,262122,2026-02,644.6,3-Month MA Baseline
Uttar Pradesh,Pilibhit,262122,2026-03,644.6,3-Month MA Baseline
Haryana,Panipat,132103,2026-01,787.0666666666666,3-Month MA Baseline
Haryana,Panipat,132103,2026-02,787.0666666666666,3-Month MA Baseline
Haryana,Panipat,132103,2026-03,787.0666666666666,3-Month MA Baseline
